MOVIE_ID,MOVIE_NAME,TITULO_LIMPIO,FORMATO,IDIOMA,CATEGORIA,DESCRIPCION,FAMILIA,NOMBRE_ORIGINAL,DESCRIPCION2,ACTOR_PRINCIPAL,DIRECTOR,DURACION,CATEGORIA_CINEPOLIS,NOMBRE_ORIGINAL_CLEAN,TITULO_LIMPIO_CLEAN,NOMBRE_UNICO
2001,Jurassic World: Renace 4DX/3D Sub,JURASSIC WORLD: RENACE 4DX/3D SUB,2D,SUB,,,JURASSIC WORLD,Jurassic World: Renace 4DX/3D Sub,,,,134 minutos,,JURASSIC WORLD: RENACE,JURASSIC WORLD: RENACE,JURASSIC WORLD RENACE
2014,Sé Lo Que Hicieron El Verano Pasado Esp,SÉ LO QUE HICIERON EL VERANO PASADO ESP,2D,ESP,,,SÉ LO QUE HICIERON EL VERANO PASADO,Sé Lo Que Hicieron El Verano Pasado Esp,,,,110 minutos,,SÉ LO QUE HICIERON EL VERANO PASADO,SÉ LO QUE HICIERON EL VERANO PASADO,SÉ LO QUE HICIERON EL VERANO PASADO
2008,El Conjuro 4: Últimos Ritos Esp,EL CONJURO 4: ÚLTIMOS RITOS ESP,2D,ESP,,,EL CONJURO 4,El Conjuro 4: Últimos Ritos Esp,,,,136 minutos,,EL CONJURO 4: ÚLTIMOS RITOS,EL CONJURO 4: ÚLTIMOS RITOS,CONJURO 4 ÚLTIMOS RITOS
1999,Exterminio: La Evolución Sub,EXTERMINIO: LA EVOLUCIÓN SUB,2D,SUB,,,EXTERMINIO,Exterminio: La Evolución Sub,,,,115 minutos,,EXTERMINIO: LA EVOLUCIÓN,EXTERMINIO: LA EVOLUCIÓN,EXTERMINIO LA EVOLUCIÓN
290,Lilo y Stitch Esp,LILO Y STITCH ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
19,F1 Esp,F1 ESP,2D,ESP,,,F1,F1 Esp,,,,155 minutos,,F1,F1,F1
2008,El Conjuro 4: Últimos Ritos Esp,EL CONJURO 4: ÚLTIMOS RITOS ESP,2D,ESP,,,EL CONJURO 4,El Conjuro 4: Últimos Ritos Esp,,,,136 minutos,,EL CONJURO 4: ÚLTIMOS RITOS,EL CONJURO 4: ÚLTIMOS RITOS,CONJURO 4 ÚLTIMOS RITOS
57,Presencia Sub,PRESENCIA SUB,2D,SUB,,,PRESENCIA,Presencia Sub,,,,84 minutos,,PRESENCIA,PRESENCIA,PRESENCIA
2015,Re Estreno Interestelar Esp,RE ESTRENO INTERESTELAR ESP,2D,ESP,,,RE ESTRENO INTERESTELAR,Re Estreno Interestelar Esp,,,,169 minutos,,RE ESTRENO INTERESTELAR,RE ESTRENO INTERESTELAR,RE ESTRENO INTERESTELAR
2003,Una Película De Minecraft Sub,UNA PELÍCULA DE MINECRAFT SUB,2D,SUB,,,UNA PELÍCULA DE MINECRAFT,Una Película De Minecraft Sub,,,,103 minutos,,UNA PELÍCULA DE MINECRAFT,UNA PELÍCULA DE MINECRAFT,PELÍCULA DE MINECRAFT
